s,v,T_stride,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im,abs_lam1,abs_lam2,abs_lam3,stable
0.230160,0.063490,3.625147,-1.00000000,0.00000000,0.97386483,0.00000000,0.00000000,0.00000000,1.00000000,0.97386483,0.00000000,1
0.233066,0.064290,3.625246,-1.00000000,0.00000000,0.97320033,0.00000000,0.00000000,0.00000000,1.00000000,0.97320033,0.00000000,1
0.235972,0.065089,3.625346,-1.00000000,0.00000000,0.97252746,0.00000000,0.00000000,0.00000000,1.00000000,0.97252746,0.00000000,1
0.238878,0.065889,3.625447,-1.00000000,0.00000000,0.97184622,0.00000000,0.00000000,0.00000000,1.00000000,0.97184622,0.00000000,1
0.241784,0.066689,3.625549,-1.00000000,0.00000000,0.97115662,0.00000000,0.00000000,0.00000000,1.00000000,0.97115662,0.00000000,1
0.244689,0.067488,3.625651,-1.00000000,0.00000000,0.97045865,0.00000000,0.00000000,0.00000000,1.00000000,0.97045865,0.00000000,1
0.247595,0.068288,3.625755,-1.00000000,0.00000000,0.96975232,0.00000000,0.00000000,0.00000000,1.00000000,0.96975232,0.00000000,1
0.250501,0.069087,3.625859,-1.00000000,0.00000000,0.96903761,0.00000000,0.00000000,0.00000000,1.00000000,0.96903761,0.00000000,1
0.253407,0.069887,3.625964,-1.00000000,0.00000000,0.96831453,0.00000000,0.00000000,0.00000000,1.00000000,0.96831453,0.00000000,1
0.256313,0.070686,3.626070,-1.00000000,0.00000000,0.96758308,0.00000000,0.00000000,0.00000000,1.00000000,0.96758308,0.00000000,1
0.259218,0.071485,3.626176,-1.00000000,0.00000000,0.96684326,0.00000000,0.00000000,0.00000000,1.00000000,0.96684326,0.00000000,1
0.262124,0.072285,3.626284,-1.00000000,0.00000000,0.96609507,0.00000000,0.00000000,0.00000000,1.00000000,0.96609507,0.00000000,1
0.265030,0.073084,3.626392,-1.00000000,0.00000000,0.96533850,0.00000000,0.00000000,0.00000000,1.00000000,0.96533850,0.00000000,1
0.267936,0.073883,3.626501,-1.00000000,0.00000000,0.96457355,0.00000000,0.00000000,0.00000000,1.00000000,0.96457355,0.00000000,1
